subj,item,prime.condition,boost.condition,response,simulation
4,14,DO,different verb,PO,simulation: 1
27,9,DO,different verb,DO,simulation: 1
42,31,DO,same verb,DO,simulation: 1
36,26,DO,same verb,PO,simulation: 1
48,28,PO,same verb,PO,simulation: 1
14,13,PO,different verb,PO,simulation: 1
23,30,DO,different verb,DO,simulation: 1
10,9,DO,different verb,PO,simulation: 1
26,20,PO,different verb,DO,simulation: 1
9,27,PO,same verb,DO,simulation: 1
51,16,DO,different verb,PO,simulation: 1
3,20,DO,different verb,PO,simulation: 1
38,7,DO,same verb,DO,simulation: 1
37,31,PO,same verb,DO,simulation: 1
32,29,PO,different verb,DO,simulation: 1
54,29,PO,same verb,DO,simulation: 1
19,9,PO,different verb,PO,simulation: 1
27,25,PO,different verb,DO,simulation: 1
39,12,DO,different verb,PO,simulation: 1
21,10,DO,same verb,PO,simulation: 1
15,23,PO,same verb,DO,simulation: 1
43,14,PO,different verb,PO,simulation: 1
2,20,PO,same verb,PO,simulation: 1
49,2,DO,same verb,DO,simulation: 1
23,10,PO,same verb,DO,simulation: 1
41,18,PO,same verb,PO,simulation: 1
11,27,PO,same verb,PO,simulation: 1
30,7,DO,same verb,DO,simulation: 1
13,14,DO,same verb,DO,simulation: 1
32,1,PO,same verb,PO,simulation: 1
35,4,PO,different verb,PO,simulation: 1
17,24,DO,different verb,PO,simulation: 1
38,6,PO,different verb,PO,simulation: 1
33,21,PO,different verb,PO,simulation: 1
27,28,PO,different verb,DO,simulation: 1
45,19,PO,same verb,PO,simulation: 1
45,12,PO,same verb,PO,simulation: 1
29,32,PO,same verb,DO,simulation: 1
45,1,PO,same verb,PO,simulation: 1
20,28,PO,different verb,PO,simulation: 1
40,16,DO,same verb,DO,simulation: 1
2,2,DO,different verb,DO,simulation: 1
31,21,DO,different verb,DO,simulation: 1
49,23,PO,same verb,DO,simulation: 1
24,31,DO,same verb,DO,simulation: 1
37,27,DO,same verb,PO,simulation: 1
24,4,PO,same verb,DO,simulation: 1
23,12,DO,different verb,DO,simulation: 1
39,10,PO,different verb,PO,simulation: 1
52,9,PO,same verb,PO,simulation: 1
19,13,PO,same verb,PO,simulation: 1
1,14,PO,different verb,PO,simulation: 1
39,18,DO,same verb,PO,simulation: 1
31,18,DO,different verb,DO,simulation: 1
19,22,PO,different verb,PO,simulation: 1
7,9,PO,same verb,PO,simulation: 1
45,10,PO,different verb,PO,simulation: 1
8,10,DO,same verb,PO,simulation: 1
19,5,DO,different verb,PO,simulation: 1
8,22,PO,different verb,DO,simulation: 1
14,17,DO,same verb,DO,simulation: 1
20,11,PO,same verb,PO,simulation: 1
10,30,PO,different verb,DO,simulation: 1
37,16,DO,different verb,DO,simulation: 1
19,7,PO,different verb,PO,simulation: 1
1,10,PO,same verb,PO,simulation: 1
9,22,PO,different verb,DO,simulation: 1
50,29,DO,same verb,DO,simulation: 1
1,24,DO,same verb,PO,simulation: 1
36,24,PO,different verb,PO,simulation: 1
1,19,PO,same verb,PO,simulation: 1
47,16,DO,different verb,PO,simulation: 1
29,8,DO,same verb,DO,simulation: 1
33,10,DO,different verb,PO,simulation: 1
52,29,DO,same verb,DO,simulation: 1
29,2,DO,same verb,DO,simulation: 1
43,5,DO,same verb,PO,simulation: 1
44,1,PO,same verb,PO,simulation: 1
20,17,DO,same verb,PO,simulation: 1
4,25,DO,different verb,PO,simulation: 1
25,11,DO,same verb,DO,simulation: 1
11,1,PO,different verb,PO,simulation: 1
8,2,PO,same verb,DO,simulation: 1
18,19,PO,different verb,DO,simulation: 1
15,4,DO,same verb,DO,simulation: 1
4,20,PO,different verb,DO,simulation: 1
52,27,DO,same verb,DO,simulation: 1
9,18,DO,different verb,DO,simulation: 1
5,22,PO,same verb,DO,simulation: 1
48,19,PO,different verb,PO,simulation: 1
50,27,DO,same verb,PO,simulation: 1
11,30,PO,same verb,DO,simulation: 1
3,3,PO,same verb,DO,simulation: 1
3,6,DO,different verb,DO,simulation: 1
31,12,PO,same verb,DO,simulation: 1
17,7,PO,same verb,PO,simulation: 1
48,4,PO,same verb,PO,simulation: 1
42,18,DO,different verb,DO,simulation: 1
5,19,PO,same verb,PO,simulation: 1
32,22,DO,different verb,DO,simulation: 1
37,1,DO,same verb,PO,simulation: 1
45,13,DO,different verb,PO,simulation: 1
24,27,DO,different verb,DO,simulation: 1
15,19,PO,different verb,DO,simulation: 1
18,32,PO,different verb,DO,simulation: 1
33,13,DO,different verb,PO,simulation: 1
2,15,DO,same verb,PO,simulation: 1
41,29,PO,different verb,DO,simulation: 1
14,21,DO,same verb,PO,simulation: 1
44,32,PO,different verb,DO,simulation: 1
42,17,DO,same verb,DO,simulation: 1
20,12,PO,different verb,PO,simulation: 1
46,26,PO,same verb,PO,simulation: 1
15,29,PO,same verb,DO,simulation: 1
25,24,PO,same verb,PO,simulation: 1
26,14,PO,different verb,DO,simulation: 1
44,13,PO,different verb,PO,simulation: 1
42,9,DO,same verb,PO,simulation: 1
27,27,DO,different verb,DO,simulation: 1
16,14,PO,same verb,PO,simulation: 1
7,31,DO,same verb,DO,simulation: 1
41,7,DO,same verb,PO,simulation: 1
20,14,PO,same verb,PO,simulation: 1
6,9,DO,different verb,PO,simulation: 1
2,3,PO,different verb,PO,simulation: 1
44,31,DO,different verb,DO,simulation: 1
25,15,PO,same verb,PO,simulation: 1
24,7,DO,same verb,DO,simulation: 1
4,21,PO,different verb,PO,simulation: 1
53,24,PO,same verb,PO,simulation: 1
37,8,PO,same verb,DO,simulation: 1
1,9,DO,same verb,PO,simulation: 1
53,14,PO,same verb,PO,simulation: 1
16,8,DO,different verb,DO,simulation: 1
22,10,DO,same verb,PO,simulation: 1
49,12,DO,same verb,PO,simulation: 1
11,4,PO,same verb,PO,simulation: 1
3,31,PO,different verb,DO,simulation: 1
28,16,PO,different verb,PO,simulation: 1
18,22,DO,same verb,DO,simulation: 1
17,25,DO,same verb,PO,simulation: 1
8,18,PO,different verb,DO,simulation: 1
42,22,DO,same verb,PO,simulation: 1
13,22,DO,same verb,DO,simulation: 1
47,18,DO,different verb,DO,simulation: 1
23,6,DO,same verb,PO,simulation: 1
49,14,DO,different verb,DO,simulation: 1
9,9,DO,same verb,DO,simulation: 1
7,5,PO,same verb,DO,simulation: 1
6,26,DO,same verb,DO,simulation: 1
4,30,DO,different verb,DO,simulation: 1
18,27,DO,different verb,PO,simulation: 1
42,16,DO,same verb,PO,simulation: 1
24,6,PO,same verb,PO,simulation: 1
30,9,DO,same verb,PO,simulation: 1
10,15,PO,different verb,DO,simulation: 1
24,28,PO,different verb,DO,simulation: 1
31,2,PO,different verb,DO,simulation: 1
11,21,PO,same verb,PO,simulation: 1
30,19,PO,same verb,PO,simulation: 1
18,16,PO,different verb,PO,simulation: 1
4,10,DO,same verb,PO,simulation: 1
54,4,DO,same verb,PO,simulation: 1
15,28,PO,different verb,DO,simulation: 1
54,21,DO,same verb,PO,simulation: 1
21,7,PO,different verb,DO,simulation: 1
53,26,PO,different verb,PO,simulation: 1
23,21,DO,same verb,PO,simulation: 1
48,17,PO,same verb,PO,simulation: 1
44,21,PO,different verb,PO,simulation: 1
31,9,PO,different verb,DO,simulation: 1
37,23,DO,same verb,DO,simulation: 1
24,26,DO,different verb,DO,simulation: 1
19,29,PO,different verb,DO,simulation: 1
6,2,DO,same verb,DO,simulation: 1
20,30,PO,same verb,PO,simulation: 1
41,28,DO,same verb,DO,simulation: 1
30,10,DO,same verb,PO,simulation: 1
40,15,PO,different verb,DO,simulation: 1
3,9,DO,different verb,DO,simulation: 1
44,8,DO,different verb,DO,simulation: 1
23,13,DO,different verb,DO,simulation: 1
36,18,PO,same verb,PO,simulation: 1
30,30,DO,different verb,DO,simulation: 1
9,15,DO,same verb,DO,simulation: 1
53,31,PO,different verb,DO,simulation: 1
43,22,PO,different verb,PO,simulation: 1
29,25,PO,same verb,PO,simulation: 1
5,11,DO,different verb,DO,simulation: 1
17,15,PO,same verb,DO,simulation: 1
3,32,PO,same verb,DO,simulation: 1
46,11,DO,different verb,DO,simulation: 1
26,31,DO,different verb,DO,simulation: 1
43,11,DO,different verb,PO,simulation: 1
13,12,DO,different verb,PO,simulation: 1
39,29,DO,different verb,PO,simulation: 1
38,5,PO,same verb,PO,simulation: 1
29,14,PO,same verb,DO,simulation: 1
41,14,PO,different verb,PO,simulation: 1
40,4,PO,different verb,PO,simulation: 1
6,13,PO,different verb,DO,simulation: 1
50,11,DO,same verb,DO,simulation: 1
53,22,PO,different verb,PO,simulation: 1
51,3,PO,different verb,PO,simulation: 1
52,23,PO,same verb,PO,simulation: 1
49,18,PO,same verb,DO,simulation: 1
15,20,PO,different verb,DO,simulation: 1
50,17,DO,different verb,DO,simulation: 1
53,13,PO,different verb,PO,simulation: 1
21,9,PO,same verb,PO,simulation: 1
30,22,DO,different verb,PO,simulation: 1
21,16,PO,same verb,PO,simulation: 1
12,17,DO,same verb,DO,simulation: 1
45,5,PO,different verb,PO,simulation: 1
53,11,PO,different verb,DO,simulation: 1
31,4,DO,different verb,PO,simulation: 1
10,11,PO,different verb,PO,simulation: 1
41,13,DO,same verb,PO,simulation: 1
50,32,PO,different verb,PO,simulation: 1
6,15,DO,different verb,DO,simulation: 1
36,14,DO,same verb,PO,simulation: 1
54,19,DO,different verb,PO,simulation: 1
35,21,DO,different verb,PO,simulation: 1
24,30,PO,different verb,DO,simulation: 1
23,5,PO,same verb,PO,simulation: 1
53,15,PO,different verb,PO,simulation: 1
25,32,PO,different verb,DO,simulation: 1
12,24,PO,same verb,PO,simulation: 1
46,8,DO,different verb,DO,simulation: 1
52,28,DO,same verb,DO,simulation: 1
16,21,PO,different verb,PO,simulation: 1
13,30,PO,different verb,DO,simulation: 1
10,2,PO,same verb,DO,simulation: 1
21,14,DO,different verb,PO,simulation: 1
11,28,PO,different verb,PO,simulation: 1
29,1,PO,same verb,PO,simulation: 1
43,29,PO,same verb,PO,simulation: 1
10,14,PO,different verb,DO,simulation: 1
10,22,PO,same verb,PO,simulation: 1
30,4,DO,same verb,PO,simulation: 1
33,11,DO,different verb,DO,simulation: 1
22,1,PO,different verb,PO,simulation: 1
8,19,DO,different verb,DO,simulation: 1
41,27,PO,different verb,PO,simulation: 1
32,28,PO,different verb,DO,simulation: 1
2,18,PO,same verb,DO,simulation: 1
41,5,DO,different verb,PO,simulation: 1
22,3,PO,different verb,PO,simulation: 1
32,20,DO,different verb,DO,simulation: 1
47,14,DO,same verb,PO,simulation: 1
54,3,DO,different verb,PO,simulation: 1
32,6,PO,same verb,PO,simulation: 1
45,22,PO,different verb,PO,simulation: 1
26,13,DO,same verb,DO,simulation: 1
31,11,DO,different verb,DO,simulation: 1
35,16,PO,same verb,PO,simulation: 1
3,4,PO,same verb,DO,simulation: 1
32,23,PO,same verb,DO,simulation: 1
47,2,PO,different verb,DO,simulation: 1
19,15,PO,different verb,PO,simulation: 1
43,23,PO,same verb,PO,simulation: 1
38,28,DO,same verb,DO,simulation: 1
39,22,PO,different verb,PO,simulation: 1
52,17,DO,different verb,DO,simulation: 1
5,15,PO,same verb,DO,simulation: 1
18,21,DO,same verb,PO,simulation: 1
18,18,PO,different verb,DO,simulation: 1
29,4,DO,same verb,PO,simulation: 1
53,3,DO,different verb,PO,simulation: 1
5,5,DO,different verb,DO,simulation: 1
52,12,PO,different verb,DO,simulation: 1
38,10,PO,different verb,PO,simulation: 1
20,27,PO,same verb,PO,simulation: 1
48,15,DO,same verb,PO,simulation: 1
33,20,DO,same verb,DO,simulation: 1
44,27,PO,same verb,PO,simulation: 1
34,6,DO,different verb,PO,simulation: 1
37,11,PO,different verb,DO,simulation: 1
24,24,PO,same verb,PO,simulation: 1
47,12,DO,different verb,PO,simulation: 1
29,9,DO,same verb,DO,simulation: 1
37,25,DO,same verb,PO,simulation: 1
50,15,DO,same verb,DO,simulation: 1
26,11,DO,different verb,DO,simulation: 1
28,30,DO,same verb,DO,simulation: 1
17,4,PO,same verb,PO,simulation: 1
45,8,DO,different verb,DO,simulation: 1
1,18,DO,same verb,DO,simulation: 1
21,15,DO,same verb,DO,simulation: 1
11,12,PO,same verb,PO,simulation: 1
33,25,PO,different verb,PO,simulation: 1
40,31,DO,same verb,DO,simulation: 1
49,1,PO,different verb,PO,simulation: 1
23,26,DO,different verb,DO,simulation: 1
29,27,PO,same verb,PO,simulation: 1
36,30,DO,different verb,DO,simulation: 1
42,11,DO,different verb,PO,simulation: 1
26,32,PO,different verb,DO,simulation: 1
41,3,DO,same verb,PO,simulation: 1
11,14,PO,same verb,PO,simulation: 1
21,11,DO,same verb,DO,simulation: 1
46,27,DO,different verb,PO,simulation: 1
19,23,DO,same verb,PO,simulation: 1
3,7,DO,same verb,DO,simulation: 1
15,5,PO,same verb,DO,simulation: 1
5,6,DO,same verb,DO,simulation: 1
51,6,PO,different verb,PO,simulation: 1
4,26,PO,different verb,PO,simulation: 1
52,26,PO,same verb,PO,simulation: 1
44,5,DO,different verb,PO,simulation: 1
25,22,DO,different verb,DO,simulation: 1
6,21,DO,different verb,DO,simulation: 1
23,19,PO,same verb,PO,simulation: 1
39,24,PO,different verb,PO,simulation: 1
10,7,PO,same verb,PO,simulation: 1
19,10,PO,different verb,DO,simulation: 1
29,6,PO,same verb,PO,simulation: 1
52,8,DO,same verb,DO,simulation: 1
22,9,DO,same verb,PO,simulation: 1
18,12,PO,same verb,DO,simulation: 1
39,23,PO,same verb,PO,simulation: 1
1,15,DO,different verb,PO,simulation: 1
42,26,DO,same verb,PO,simulation: 1
11,19,PO,same verb,PO,simulation: 1
25,26,DO,different verb,PO,simulation: 1
21,31,DO,different verb,DO,simulation: 1
38,16,DO,same verb,PO,simulation: 1
51,2,PO,same verb,DO,simulation: 1
10,25,PO,different verb,PO,simulation: 1
35,2,PO,different verb,DO,simulation: 1
32,26,PO,same verb,PO,simulation: 1
36,17,DO,same verb,DO,simulation: 1
5,18,DO,same verb,DO,simulation: 1
32,15,PO,same verb,DO,simulation: 1
20,2,PO,different verb,PO,simulation: 1
36,12,PO,same verb,PO,simulation: 1
24,16,DO,different verb,DO,simulation: 1
41,21,PO,same verb,PO,simulation: 1
1,20,DO,same verb,PO,simulation: 1
49,11,PO,different verb,DO,simulation: 1
28,26,PO,same verb,PO,simulation: 1
26,1,PO,same verb,PO,simulation: 1
44,11,DO,different verb,DO,simulation: 1
27,1,DO,same verb,DO,simulation: 1
2,22,PO,same verb,PO,simulation: 1
41,11,DO,same verb,PO,simulation: 1
7,1,PO,different verb,PO,simulation: 1
50,9,DO,different verb,DO,simulation: 1
4,13,PO,same verb,PO,simulation: 1
25,27,PO,same verb,DO,simulation: 1
3,24,DO,different verb,DO,simulation: 1
38,30,DO,same verb,DO,simulation: 1
48,11,PO,same verb,PO,simulation: 1
49,25,DO,different verb,PO,simulation: 1
31,19,DO,different verb,DO,simulation: 1
8,32,DO,same verb,DO,simulation: 1
2,16,DO,same verb,PO,simulation: 1
2,4,DO,different verb,PO,simulation: 1
45,15,PO,same verb,PO,simulation: 1
31,6,PO,different verb,PO,simulation: 1
34,32,PO,different verb,DO,simulation: 1
48,24,DO,different verb,PO,simulation: 1
14,23,PO,same verb,PO,simulation: 1
6,29,PO,same verb,DO,simulation: 1
3,14,DO,same verb,DO,simulation: 1
41,1,DO,same verb,PO,simulation: 1
8,17,DO,same verb,DO,simulation: 1
53,28,DO,same verb,DO,simulation: 1
9,5,DO,different verb,DO,simulation: 1
10,32,PO,different verb,DO,simulation: 1
4,19,PO,same verb,PO,simulation: 1
6,17,PO,same verb,DO,simulation: 1
18,10,DO,same verb,DO,simulation: 1
44,24,PO,same verb,PO,simulation: 1
1,16,DO,same verb,PO,simulation: 1
17,1,PO,different verb,PO,simulation: 1
44,3,PO,different verb,PO,simulation: 1
50,12,DO,different verb,DO,simulation: 1
40,26,PO,same verb,PO,simulation: 1
19,21,PO,same verb,PO,simulation: 1
33,30,PO,same verb,DO,simulation: 1
4,27,PO,same verb,PO,simulation: 1
2,1,DO,same verb,PO,simulation: 1
32,7,PO,different verb,PO,simulation: 1
51,20,PO,different verb,PO,simulation: 1
25,12,DO,different verb,PO,simulation: 1
39,28,DO,different verb,PO,simulation: 1
42,15,PO,different verb,PO,simulation: 1
3,5,PO,different verb,DO,simulation: 1
41,17,DO,different verb,PO,simulation: 1
12,31,DO,same verb,DO,simulation: 1
27,24,DO,different verb,DO,simulation: 1
37,2,DO,same verb,DO,simulation: 1
7,25,PO,same verb,PO,simulation: 1
54,28,DO,same verb,DO,simulation: 1
30,23,DO,different verb,PO,simulation: 1
36,6,DO,same verb,PO,simulation: 1
12,21,PO,same verb,DO,simulation: 1
31,32,DO,different verb,DO,simulation: 1
35,11,PO,different verb,DO,simulation: 1
22,12,PO,same verb,PO,simulation: 1
51,22,PO,different verb,PO,simulation: 1
52,20,DO,same verb,DO,simulation: 1
45,26,DO,different verb,PO,simulation: 1
7,20,DO,different verb,DO,simulation: 1
41,2,PO,different verb,DO,simulation: 1
54,17,PO,same verb,DO,simulation: 1
5,1,PO,different verb,PO,simulation: 1
10,6,PO,same verb,PO,simulation: 1
24,23,DO,different verb,DO,simulation: 1
54,7,DO,same verb,DO,simulation: 1
22,5,DO,same verb,PO,simulation: 1
35,9,PO,different verb,PO,simulation: 1
8,1,DO,different verb,PO,simulation: 1
5,2,DO,different verb,DO,simulation: 1
14,30,PO,same verb,DO,simulation: 1
6,31,DO,different verb,DO,simulation: 1
40,30,DO,same verb,DO,simulation: 1
4,9,PO,same verb,DO,simulation: 1
46,1,PO,same verb,DO,simulation: 1
31,17,DO,same verb,DO,simulation: 1
45,11,PO,different verb,DO,simulation: 1
18,8,PO,different verb,DO,simulation: 1
16,16,DO,same verb,DO,simulation: 1
31,1,PO,same verb,DO,simulation: 1
43,15,PO,different verb,PO,simulation: 1
2,24,PO,same verb,PO,simulation: 1
45,21,DO,different verb,PO,simulation: 1
27,23,PO,different verb,DO,simulation: 1
26,26,DO,different verb,DO,simulation: 1
48,29,PO,different verb,PO,simulation: 1
22,17,PO,different verb,DO,simulation: 1
6,19,DO,different verb,DO,simulation: 1
19,26,DO,different verb,PO,simulation: 1
8,6,DO,different verb,PO,simulation: 1
51,11,PO,same verb,PO,simulation: 1
37,7,PO,different verb,DO,simulation: 1
16,13,PO,different verb,PO,simulation: 1
16,29,DO,same verb,DO,simulation: 1
18,1,DO,same verb,PO,simulation: 1
30,17,PO,same verb,PO,simulation: 1
49,20,DO,different verb,DO,simulation: 1
9,2,DO,same verb,DO,simulation: 1
36,32,PO,different verb,PO,simulation: 1
34,21,PO,same verb,PO,simulation: 1
28,9,DO,same verb,PO,simulation: 1
5,31,PO,same verb,DO,simulation: 1
37,28,PO,same verb,DO,simulation: 1
26,24,PO,different verb,PO,simulation: 1
38,20,DO,different verb,PO,simulation: 1
7,12,PO,same verb,PO,simulation: 1
6,14,PO,same verb,DO,simulation: 1
15,26,DO,different verb,PO,simulation: 1
1,7,DO,same verb,PO,simulation: 1
18,14,DO,same verb,DO,simulation: 1
29,30,PO,different verb,DO,simulation: 1
6,28,PO,same verb,DO,simulation: 1
38,21,DO,different verb,DO,simulation: 1
1,26,PO,same verb,PO,simulation: 1
29,16,PO,different verb,PO,simulation: 1
42,20,DO,same verb,PO,simulation: 1
28,18,PO,same verb,DO,simulation: 1
48,10,DO,same verb,PO,simulation: 1
43,1,PO,different verb,PO,simulation: 1
47,24,DO,same verb,PO,simulation: 1
9,4,DO,different verb,DO,simulation: 1
40,24,DO,different verb,DO,simulation: 1
54,5,PO,same verb,PO,simulation: 1
11,11,PO,same verb,PO,simulation: 1
44,22,PO,different verb,DO,simulation: 1
2,27,PO,same verb,PO,simulation: 1
11,7,PO,different verb,PO,simulation: 1
6,16,DO,same verb,DO,simulation: 1
29,15,PO,same verb,PO,simulation: 1
49,31,DO,different verb,DO,simulation: 1
12,6,PO,same verb,DO,simulation: 1
21,13,PO,same verb,PO,simulation: 1
28,13,PO,different verb,PO,simulation: 1
48,20,PO,different verb,PO,simulation: 1
26,5,DO,different verb,DO,simulation: 1
45,24,DO,different verb,PO,simulation: 1
8,20,PO,different verb,PO,simulation: 1
30,29,PO,same verb,DO,simulation: 1
41,23,PO,different verb,PO,simulation: 1
32,11,DO,different verb,PO,simulation: 1
31,29,DO,different verb,DO,simulation: 1
39,13,PO,same verb,PO,simulation: 1
14,9,DO,different verb,PO,simulation: 1
36,23,PO,same verb,PO,simulation: 1
34,22,PO,different verb,PO,simulation: 1
30,18,PO,different verb,DO,simulation: 1
42,32,PO,different verb,PO,simulation: 1
49,29,PO,different verb,DO,simulation: 1
47,32,DO,same verb,DO,simulation: 1
40,13,DO,different verb,DO,simulation: 1
40,18,DO,same verb,DO,simulation: 1
23,8,PO,different verb,DO,simulation: 1
6,23,DO,same verb,DO,simulation: 1
51,28,DO,same verb,DO,simulation: 1
1,27,PO,same verb,PO,simulation: 1
3,15,PO,different verb,DO,simulation: 1
33,8,DO,same verb,DO,simulation: 1
23,7,PO,same verb,DO,simulation: 1
49,15,DO,different verb,DO,simulation: 1
4,18,PO,same verb,DO,simulation: 1
9,30,DO,same verb,DO,simulation: 1
6,18,DO,same verb,DO,simulation: 1
16,9,PO,different verb,DO,simulation: 1
11,26,PO,same verb,PO,simulation: 1
40,6,PO,different verb,PO,simulation: 1
16,26,DO,same verb,DO,simulation: 1
47,28,PO,same verb,DO,simulation: 1
15,13,PO,same verb,DO,simulation: 1
27,7,DO,different verb,DO,simulation: 1
36,29,PO,same verb,PO,simulation: 1
50,10,PO,same verb,PO,simulation: 1
43,30,DO,same verb,PO,simulation: 1
46,21,DO,same verb,DO,simulation: 1
40,28,PO,same verb,DO,simulation: 1
9,1,DO,same verb,DO,simulation: 1
10,18,DO,different verb,DO,simulation: 1
53,8,DO,same verb,PO,simulation: 1
23,11,PO,same verb,PO,simulation: 1
53,5,PO,same verb,PO,simulation: 1
48,5,DO,same verb,PO,simulation: 1
36,1,PO,same verb,PO,simulation: 1
10,29,DO,different verb,DO,simulation: 1
52,7,PO,same verb,PO,simulation: 1
12,12,PO,same verb,PO,simulation: 1
25,9,DO,same verb,PO,simulation: 1
8,9,PO,different verb,PO,simulation: 1
10,10,DO,different verb,PO,simulation: 1
11,18,DO,different verb,PO,simulation: 1
51,1,DO,different verb,PO,simulation: 1
13,27,DO,same verb,PO,simulation: 1
35,27,PO,same verb,PO,simulation: 1
28,32,PO,different verb,PO,simulation: 1
